geoid10,dscore_2013,ascore_2013,pscore_2013,total_score,pop,dist,acre_pp,park_pp
371830506003020,1,4,1,6,103,0.269814,0.005033,0.001592
371830541063009,2,3,4,9,88,0.761312,0.016556,0.000185
371830516004004,1,4,4,9,29,0.388279,0.00418,0.000402
371830525031020,2,4,5,11,57,1.093262,0.004523,9.4e-05
371830525033020,2,5,5,12,138,1.424962,0,0
371830540082009,2,4,4,10,34,0.704566,0.003023,0.000139
371830528072062,2,4,4,10,3,1.130125,0.010303,0.000189
371830519001019,1,4,3,8,65,0.318451,0.005104,0.000535
371830542081089,3,5,5,13,32,2.171807,0,0
371830515012011,2,4,3,9,27,0.661374,0.004292,0.000532
371830519001020,1,4,3,8,35,0.001796,0.005806,0.00079
371830501001087,1,2,2,5,6,0.154199,0.021861,0.001244
371830525071005,2,5,5,12,499,1.321711,0,0
371830541044017,2,4,4,10,1,0.920605,0.011337,0.000103
371830537141014,2,4,5,11,60,0.921033,0.004246,8.2e-05
371830537072005,2,5,4,11,267,0.910441,0.001169,0.000264
371830501001101,1,2,1,4,3,0.053878,0.023005,0.00183
371830536102107,1,4,4,9,157,0.381729,0.001964,0.000197
371830541042031,2,1,4,7,124,0.706039,0.03317,0.0002
371830541131003,2,5,5,12,60,1.444432,0,0
371830540134016,2,5,5,12,86,1.385588,0,0
371830525071013,2,3,3,8,64,1.041341,0.013421,0.000543
371830537093026,3,5,5,13,9,1.91178,0,0
371830528064031,3,5,5,13,565,2.11165,0,0
371830541051006,3,5,5,13,68,2.129486,0,0
371830523021022,3,5,5,13,30,1.629373,0,0
371830510001022,1,3,3,7,44,0.380774,0.021651,0.000886
371830540111002,2,5,5,12,27,1.509904,0,0
371830540083001,2,5,5,12,798,1.402781,0,0
371830541042002,1,1,4,6,4,0.053037,0.03317,0.0002
371830540151034,1,4,4,9,15,0.459691,0.003023,0.000139
371830537093022,3,5,5,13,11,2.139537,0,0
371830520022009,1,4,3,8,25,0.444204,0.001467,0.000655
371830537181021,5,5,5,15,67,3.561987,0,0
371830514002004,1,4,3,8,70,0.154821,0.006832,0.000633
370630019002072,5,5,5,15,68,4.786464,0,0
371830516005000,2,4,4,10,46,0.685864,0.004688,0.000458
371830501001072,1,2,1,4,289,0.028112,0.026881,0.001562
371830536101002,3,5,5,13,295,1.823834,0,0
371830527043025,1,4,4,9,118,0.246757,0.004763,0.000215
371830521014007,1,3,3,7,31,0.56861,0.014794,0.000604
371830520012000,2,5,5,12,133,1.43747,0,0
371830540182010,2,4,4,10,38,1.134129,0.007237,0.000104
371830501001037,1,2,2,5,27,0.264291,0.022755,0.001317
371830538082018,3,5,5,13,50,1.996075,0,0
371830516005005,1,4,4,9,32,0.568921,0.004688,0.000458
371830541052005,3,5,5,13,157,1.756188,0,0
371830537181022,5,5,5,15,47,3.714485,0,0
371830537121004,1,4,5,10,2,0.191976,0.004246,8.2e-05
371830540182012,2,4,4,10,71,1.163334,0.007237,0.000104
371830540141006,3,5,5,13,9,1.787531,0,0
371830525062004,2,4,4,10,427,1.096388,0.010986,0.000424
371830503002004,1,2,2,5,207,0.300731,0.024122,0.001203
371830524062003,4,5,5,14,372,2.547005,0,0
371830542091073,4,5,5,14,4,3.058273,0,0
371830528063001,2,3,4,9,69,0.936274,0.016556,0.000185
371830540162031,2,5,5,12,123,1.450216,0,0
371830509003009,1,2,1,4,38,0.080784,0.026833,0.001782
371830525052007,2,4,4,10,85,1.267374,0.004153,0.000334
371830518002002,1,4,4,9,120,0.347609,0.004919,0.000462
371830527062021,3,5,5,13,19,2.429758,0,0
371830526011020,1,4,4,9,163,0.61577,0.004062,0.000127
371830542071043,3,5,5,13,37,2.14439,0,0
371830540134025,3,5,5,13,74,1.940315,0,0
371830524062032,3,5,5,13,48,1.553522,0,0
371830541043047,2,4,4,10,2,1.030695,0.003023,0.000139
371830537241087,2,5,5,12,152,1.342532,0,0
371830521014030,1,3,3,7,69,0.33129,0.014794,0.000604
371830527043009,1,4,4,9,36,0.298079,0.004763,0.000215
371830519002015,2,4,4,10,331,0.673589,0.005034,0.000464
371830509001018,1,2,1,4,60,0.091999,0.02745,0.001944
371830540143015,2,5,5,12,22,1.501076,0,0
371830525042004,2,4,4,10,251,0.853168,0.007505,0.00024
371830540143034,2,5,5,12,57,1.476719,0,0
371830527013001,2,4,4,10,123,1.027189,0.002575,0.000102
371830537132006,1,4,5,10,72,0.36183,0.004246,8.2e-05
371830526011023,1,4,4,9,17,0.371308,0.004062,0.000127
371830501001086,1,2,2,5,7,0.063543,0.021861,0.001244
371830527043010,1,4,5,10,28,0.502174,0.002298,8.6e-05
371830520022006,1,4,3,8,202,0.412898,0.001467,0.000655
371830528072016,1,4,4,9,175,0.598056,0.010303,0.000189
371830540123001,1,4,4,9,71,0.45999,0.007237,0.000104
371830540182004,3,5,5,13,21,1.636277,0,0
371830504001034,1,4,3,8,42,0.214999,0.005741,0.000796
371830525051000,2,4,5,11,913,1.167308,0.011085,7.7e-05
371830524072006,1,4,4,9,404,0.613536,0.001783,0.000248
371830525051012,1,4,5,10,33,0.324132,0.011085,7.7e-05
371830540161005,2,1,4,7,343,0.931182,0.059635,0.000247
371830530081040,2,5,5,12,2,1.291329,0,0
371830537121014,1,4,5,10,3,0.384875,0.004246,8.2e-05
371830520012018,2,4,2,8,10,0.741674,0.002927,0.001096
371830537171030,4,5,5,14,114,2.450388,0,0
371830516003010,1,4,4,9,88,0.577005,0.004512,0.000416
371830542091071,4,5,5,14,7,3.1936,0,0
371830540131037,2,1,4,7,157,1.261445,0.076914,0.000488
371830519001002,2,5,5,12,40,1.304052,0,0
371830506002034,1,4,1,6,29,0.118289,0.005849,0.001687
371830537071021,2,5,4,11,16,1.130684,0,0.00013
371830540171019,2,5,5,12,111,1.30429,0,0
371830517001013,1,4,4,9,49,0.084263,0.004919,0.000462
371830525051022,1,4,4,9,58,0.285704,0.007136,0.00048
371830541103009,5,5,5,15,105,3.583069,0,0
371830506002021,1,4,2,7,42,0.178939,0.006781,0.00098
371830507003029,1,4,1,6,18,0.151739,0.008502,0.001494
371830541053016,4,5,5,14,97,2.631621,0,0
371830541055009,2,5,5,12,13,1.34935,0,0
371830545001028,1,4,1,6,2,0.354292,0.007827,0.001693
371830528033022,3,5,5,13,8,1.66175,0,0
371830521013002,2,4,4,10,72,1.165689,0.010476,0.000232
371830525071007,3,5,5,13,27,1.554095,0,0
371830505002017,1,4,3,8,62,0.563494,0.005523,0.000687
371830525061001,2,3,3,8,74,0.719652,0.013421,0.000543
371830516003002,2,4,4,10,91,0.854043,0.003754,0.000332
371830540181029,2,4,5,11,154,0.658511,0.002298,8.6e-05
371830525032010,2,4,5,11,209,0.842359,0.004523,9.4e-05
371830525042009,2,4,4,10,194,0.859987,0.007505,0.00024
371830527043011,1,4,5,10,59,0.37648,0.002298,8.6e-05
371830537181011,5,5,5,15,60,3.541436,0,0
371830537251019,2,3,4,9,78,0.916605,0.012746,0.000229
